SUBJ,CRS,SEC,TITLE,INSTRUCTORS,CRN,MIN_CRED,MAX_CRED,DAYS,TIME,RM_CAP,ENRL,GLOB_CAP,LOC_CAP,AVAIL,STAT,FIRECAP,CAMPUS,COLLEGE,LEVEL,COREQS,RESTRICTIONS,PREREQS,COMMENTs
GLTP,515,RZ1,Curr/Tch Elem Schl:Sci SS Arts,Ambrose (Donald C.),[21508],  3.0,     ,TH,07:20PM-10:00PM,24,   13,,   20,    7,OPEN,25,LAW,ED,GR,,| ONLY Cert: Elementary Education & Cert: Teacher Cert ESL & Cert: Teacher Certificate P-3 & Cert: Tchr Cert P-3 Endorsemnt & Cert: Tchr Cert Secondary Educ | ONLY Graduate,GLTP 502,
GLTP,520,WY1,Curr/Teaching Secondary School,Pierce (Kathleen M.),[21509],  3.0,     ,W,04:30PM-07:10PM,48,   10,,   20,   10,OPEN,49,LAW,ED,GR,,| ONLY Graduate,GLTP 503,
GLTP,570,TY1,Seminar/Internship in Teaching,Pierce (Kathleen M.),[21510],  9.0,     ,T,04:30PM-07:10PM,44,   39,,   35,   -4,CLSD,45,LAW,ED,GR,,| ONLY Cert: Elementary Education & Cert: Teacher Cert ESL & Cert: Teacher Certificate P-3 & Cert: Tchr Cert P-3 Endorsemnt & Cert: Tchr Cert Secondary Educ | ONLY Graduate,,
GLTP,571,01,Supervised Practicum Teaching,Pierce (Kathleen M.),[21511],  3.0,     ,,,,    2,,   25,   23,OPEN,,LAW,ED,GR,,| ONLY Cert: Elementary Education Certificate& Cert: Teacher Cert ESL Certificate& Cert: Teacher Certificate P-3 Certificate& Cert: Tchr Cert P-3 Endorsemnt Certificate& Cert: Tchr Cert Secondary Educ Certificate| ONLY Graduate,,
GND,100,K1,Introductn to Gender Studies,D'Angelo (Michele),[20119],  3.0,     ,MW,04:30PM-06:00PM,35,   23,,   25,    2,OPEN,36,LAW,LA,UG,,| ONLY Undergraduate,,
GND,230,OL1,Women In Literature,Peters (Pearlie M.),[21824],  3.0,     ,,,,    6,15,    5,   -1,CLSD,,LAW,LA,UG,,| ONLY Undergraduate| ONLY Continuing Studies,2.5 GPA,
GND,318,F1,Gender and Communication,McManimon (Susan J.),[20120],  3.0,     ,TTH,09:45AM-11:15AM,61,   13,35,    0,  -13,CLSD,62,LAW,LA,UG,,| ONLY Undergraduate,,
GND,333,C1,Gender and Sport,Cordonnier (Deborah L.),[20121],  3.0,     ,MWF,10:20AM-11:20AM,35,   26,,   25,   -1,CLSD,36,LAW,LA,UG,,| ONLY Junior& Senior| ONLY Undergraduate,,
GND,350,TEO,Leadership and Community,Cordonnier (Deborah L.),[20122],  3.0,     ,T,06:30PM-09:30PM,28,    9,35,   15,    6,OPEN,29,LAW,LA,UG,,| ONLY Undergraduate| NO Continuing Studies,,
GND,350,TER,Leadership and Community,Cordonnier (Deborah L.),[20123],  3.0,     ,T,06:30PM-09:30PM,28,    5,35,   10,    5,OPEN,29,LAW,LA,UG,,| ONLY Undergraduate| ONLY Continuing Studies,,
GND,400,O1,Gender Studies Seminar,Titus (Megan L.),[20124],  3.0,     ,TTH,04:30PM-06:00PM,28,   11,,   16,    5,OPEN,29,LAW,LA,UG,,| ONLY Junior& Senior| ONLY Undergraduate,,
GND,490,01,IS: CCS Website,Morse (Mary L.),[22159],  1.0,  4.0,,,,    1,,    1,    0,CLSD,,LAW,LA,UG,,| ONLY Undergraduate,,Academic Coordinator Signature
GND,490,02,IS:  Why Marriage?,Titus (Megan L.),[22165],  1.0,  4.0,,,,    1,,    1,    0,CLSD,,LAW,LA,UG,,| ONLY Undergraduate,,Academic Coordinator Signature
GND,491,01,Internship,Morse (Mary L.),[22021],  1.0,  4.0,,,,    1,,    1,    0,CLSD,,LAW,LA,UG,,| ONLY Undergraduate,,Academic Coordinator Signature
GSC,115,L1,Intro to Global Supp Chain Mgt,Miller (Tan C.),[21240],  3.0,     ,TTH,01:10PM-02:40PM,35,   25,,   25,    0,CLSD,36,LAW,BU,UG,,| ONLY Undergraduate,,
GSC,115,N1,Intro to Global Supp Chain Mgt,Miller (Tan C.),[21242],  3.0,     ,TTH,02:50PM-04:20PM,35,   16,,   25,    9,OPEN,36,LAW,BU,UG,,| ONLY Undergraduate,,
GSC,235,F1,Globl Supply Chn Mgt: External,Miller (Tan C.),[21246],  3.0,     ,TTH,09:45AM-11:15AM,35,   25,,   25,    0,CLSD,36,LAW,BU,UG,,| ONLY Global Supply Chain Mgmt | ONLY Junior& Senior& Sophomore,GSC 115 UG D,
GSC,315,02,Int Bus Tour: Belgium & Paris,Eder (Lauren B.),[21751],  3.0,     ,,,,   13,,   20,    7,OPEN,,LAW,BU,UG,,| ONLY Junior& Senior| ONLY Business Administration,,Instructor Signature Required
GSC,355,L1,Globl Supply Chn Mgt: Internal,Gong (Linguo),[21248],  3.0,     ,TTH,01:10PM-02:40PM,48,   16,,   25,    9,OPEN,49,LAW,BU,UG,,| ONLY Global Supply Chain Mgmt | ONLY Junior& Senior| ONLY Undergraduate,GSC 115 and MSD 340,
GSC,385,F1,GSC Information Systems,Eder (Lauren B.),[21063],  3.0,     ,TTH,09:45AM-11:15AM,48,    8,25,   10,    2,OPEN,49,LAW,BU,UG,,| ONLY Junior& Senior| ONLY Undergraduate,,
GSC,385,L1,GSC: Information Systems,Eder (Lauren B.),[21066],  3.0,     ,TTH,01:10PM-02:40PM,48,    9,25,   10,    1,OPEN,49,LAW,BU,UG,,| ONLY Junior& Senior| ONLY Undergraduate,,
GSC,399,01,Management Co-op Program,Miller (Tan C.),[21832],  6.0,     ,,,,    5,,    1,   -4,CLSD,,LAW,BU,UG,,| ONLY Undergraduate,,Dean Signature Required
GSC,445,N1,Design of Supply Chain Systems,Haksever (Cengiz),[21257],  3.0,     ,TTH,02:50PM-04:20PM,30,   16,,   25,    9,OPEN,31,LAW,BU,UG,,| ONLY Global Supply Chain Mgmt | ONLY Senior| ONLY Undergraduate,GSC 235 and GSC 355,
GSC,490,01,IS: Honors Thesis,Miller (Tan C.),[22172],  3.0,     ,,,,    1,,    1,    0,CLSD,,LAW,BU,UG,,| ONLY Junior& Senior| ONLY Undergraduate,GSC 115,Academic Coordinator Signature
GSC,491,01,GSC Intership,Miller (Tan C.),[22026],  3.0,     ,,,,    2,,    1,   -1,CLSD,,LAW,BU,UG,,| ONLY Junior& Senior| ONLY Undergraduate,,Academic Coordinator Signature
HIS,150,B1,World History to 1500,Katz (Stephen S.),[20134],  3.0,     ,MWF,09:10AM-10:10AM,48,   30,,   30,    0,CLSD,49,LAW,LA,UG,,| ONLY Undergraduate| NO Business Administration,,
HIS,150,B2,World History to 1500,Goebel (Lawrence R.),[20135],  3.0,     ,MWF,09:10AM-10:10AM,48,   27,,   30,    3,OPEN,49,LAW,LA,UG,,| ONLY Undergraduate| NO Business Administration,,
